Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_vnn', k=20, lr=0.001, model='eqcnn', model_path=None, momentum=0.9, no_cuda=False, num_points=1024, pooling='mean', rot='z', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 42, loss: 1.975997, train acc: 0.732288, train avg acc: 0.631852
Test 42, loss: 1.852669, test acc: 0.782820, test avg acc: 0.699703
Train 43, loss: 1.972729, train acc: 0.734731, train avg acc: 0.635764
Test 43, loss: 1.871917, test acc: 0.766207, test avg acc: 0.689901
Train 44, loss: 1.964642, train acc: 0.731983, train avg acc: 0.636465
Test 44, loss: 1.846397, test acc: 0.796596, test avg acc: 0.731047
Train 45, loss: 1.953038, train acc: 0.741042, train avg acc: 0.647989
Test 45, loss: 1.801106, test acc: 0.793355, test avg acc: 0.719988
Train 46, loss: 1.939657, train acc: 0.745725, train avg acc: 0.654402
Test 46, loss: 1.788584, test acc: 0.795381, test avg acc: 0.705820
Train 47, loss: 1.942761, train acc: 0.753054, train avg acc: 0.658343
Test 47, loss: 1.787139, test acc: 0.816856, test avg acc: 0.735843
Train 48, loss: 1.939615, train acc: 0.752138, train avg acc: 0.661642
Test 48, loss: 1.851309, test acc: 0.781199, test avg acc: 0.711808
Train 49, loss: 1.931080, train acc: 0.755090, train avg acc: 0.660144
Test 49, loss: 1.788612, test acc: 0.807942, test avg acc: 0.737285
Train 50, loss: 1.936062, train acc: 0.749287, train avg acc: 0.660288
Test 50, loss: 1.784884, test acc: 0.805105, test avg acc: 0.728407
Train 51, loss: 1.921948, train acc: 0.757329, train avg acc: 0.672280
Test 51, loss: 1.800790, test acc: 0.796191, test avg acc: 0.734012
Train 52, loss: 1.919306, train acc: 0.760993, train avg acc: 0.665939
Test 52, loss: 1.878838, test acc: 0.760535, test avg acc: 0.688407
Train 53, loss: 1.909032, train acc: 0.765981, train avg acc: 0.674163
Test 53, loss: 1.767137, test acc: 0.817261, test avg acc: 0.742320
Train 54, loss: 1.915447, train acc: 0.758652, train avg acc: 0.670640
Test 54, loss: 1.798170, test acc: 0.803079, test avg acc: 0.719860
Train 55, loss: 1.908441, train acc: 0.768017, train avg acc: 0.679097
Test 55, loss: 1.756385, test acc: 0.831442, test avg acc: 0.763890
Train 56, loss: 1.905891, train acc: 0.769849, train avg acc: 0.681279
Test 56, loss: 1.759548, test acc: 0.822123, test avg acc: 0.739262
Train 57, loss: 1.901858, train acc: 0.769544, train avg acc: 0.682438
Test 57, loss: 1.777936, test acc: 0.805511, test avg acc: 0.728924
Train 58, loss: 1.896451, train acc: 0.769544, train avg acc: 0.679706
Test 58, loss: 1.778974, test acc: 0.807131, test avg acc: 0.729233
Train 59, loss: 1.904850, train acc: 0.768119, train avg acc: 0.680475
Test 59, loss: 1.784205, test acc: 0.812399, test avg acc: 0.722919
Train 60, loss: 1.879497, train acc: 0.776771, train avg acc: 0.693447
Test 60, loss: 1.744698, test acc: 0.824554, test avg acc: 0.759558
Train 61, loss: 1.874701, train acc: 0.779418, train avg acc: 0.692981
Test 61, loss: 1.758543, test acc: 0.817261, test avg acc: 0.763140
Train 62, loss: 1.883106, train acc: 0.776771, train avg acc: 0.689691
Test 62, loss: 1.840943, test acc: 0.778363, test avg acc: 0.706901
Train 63, loss: 1.874162, train acc: 0.775957, train avg acc: 0.686046
Test 63, loss: 1.748172, test acc: 0.830632, test avg acc: 0.767145
Train 64, loss: 1.857713, train acc: 0.785932, train avg acc: 0.698491
Test 64, loss: 1.779383, test acc: 0.815640, test avg acc: 0.778337
Train 65, loss: 1.868998, train acc: 0.780537, train avg acc: 0.698257
Test 65, loss: 1.739927, test acc: 0.833063, test avg acc: 0.760913
Train 66, loss: 1.864045, train acc: 0.779011, train avg acc: 0.697433
Test 66, loss: 1.784756, test acc: 0.801864, test avg acc: 0.737256
Train 67, loss: 1.853917, train acc: 0.786441, train avg acc: 0.703342
Test 67, loss: 1.757154, test acc: 0.820908, test avg acc: 0.758029
Train 68, loss: 1.844841, train acc: 0.792345, train avg acc: 0.712000
Test 68, loss: 1.728138, test acc: 0.829011, test avg acc: 0.756878
Train 69, loss: 1.867474, train acc: 0.781046, train avg acc: 0.700837
Test 69, loss: 1.743109, test acc: 0.811588, test avg acc: 0.759901
Train 70, loss: 1.846363, train acc: 0.789190, train avg acc: 0.705861
Test 70, loss: 1.704301, test acc: 0.841572, test avg acc: 0.773634
Train 71, loss: 1.838377, train acc: 0.793872, train avg acc: 0.714549
Test 71, loss: 1.716288, test acc: 0.833063, test avg acc: 0.756709
Train 72, loss: 1.840679, train acc: 0.793974, train avg acc: 0.717209
Test 72, loss: 1.772275, test acc: 0.803485, test avg acc: 0.744657
Train 73, loss: 1.852033, train acc: 0.788375, train avg acc: 0.709755
Test 73, loss: 1.759664, test acc: 0.806321, test avg acc: 0.750640
Train 74, loss: 1.834016, train acc: 0.798351, train avg acc: 0.712914
Test 74, loss: 1.718667, test acc: 0.842382, test avg acc: 0.776901
Train 75, loss: 1.834497, train acc: 0.796926, train avg acc: 0.718073
Test 75, loss: 1.729357, test acc: 0.831848, test avg acc: 0.786698
Train 76, loss: 1.832578, train acc: 0.795195, train avg acc: 0.717483
Test 76, loss: 1.700479, test acc: 0.842382, test avg acc: 0.771384
Train 77, loss: 1.818642, train acc: 0.803237, train avg acc: 0.723360
Test 77, loss: 1.676773, test acc: 0.847650, test avg acc: 0.795291
Train 78, loss: 1.828563, train acc: 0.794890, train avg acc: 0.714423
Test 78, loss: 1.725623, test acc: 0.820097, test avg acc: 0.765273
Train 79, loss: 1.823105, train acc: 0.801201, train avg acc: 0.724726
Test 79, loss: 1.684788, test acc: 0.845624, test avg acc: 0.782709
Train 80, loss: 1.812297, train acc: 0.807614, train avg acc: 0.732414
Test 80, loss: 1.724087, test acc: 0.836710, test avg acc: 0.789099
Train 81, loss: 1.806570, train acc: 0.805985, train avg acc: 0.729648
Test 81, loss: 1.728643, test acc: 0.837925, test avg acc: 0.765279
Train 82, loss: 1.811058, train acc: 0.804357, train avg acc: 0.726170
Test 82, loss: 1.705857, test acc: 0.834684, test avg acc: 0.764674
Train 83, loss: 1.817431, train acc: 0.801608, train avg acc: 0.721884
Test 83, loss: 1.685999, test acc: 0.851702, test avg acc: 0.791372
Train 84, loss: 1.797777, train acc: 0.810261, train avg acc: 0.736486
Test 84, loss: 1.721582, test acc: 0.830227, test avg acc: 0.777901
Train 85, loss: 1.795644, train acc: 0.813518, train avg acc: 0.740791
Test 85, loss: 1.715983, test acc: 0.834684, test avg acc: 0.778058
Train 86, loss: 1.794838, train acc: 0.814230, train avg acc: 0.743555
Test 86, loss: 1.683748, test acc: 0.843193, test avg acc: 0.796233
Train 87, loss: 1.787472, train acc: 0.816572, train avg acc: 0.743196
Test 87, loss: 1.674790, test acc: 0.845624, test avg acc: 0.781831
Train 88, loss: 1.784120, train acc: 0.813518, train avg acc: 0.739430
Test 88, loss: 1.664432, test acc: 0.846029, test avg acc: 0.788686
Train 89, loss: 1.786054, train acc: 0.818302, train avg acc: 0.747922
Test 89, loss: 1.663306, test acc: 0.853323, test avg acc: 0.800953
Train 90, loss: 1.777587, train acc: 0.819931, train avg acc: 0.748714
Test 90, loss: 1.663645, test acc: 0.856564, test avg acc: 0.785488
Train 91, loss: 1.778624, train acc: 0.817081, train avg acc: 0.741223
Test 91, loss: 1.692916, test acc: 0.848865, test avg acc: 0.812052
Train 92, loss: 1.786028, train acc: 0.814027, train avg acc: 0.742941
Test 92, loss: 1.662324, test acc: 0.853323, test avg acc: 0.801384
Train 93, loss: 1.777817, train acc: 0.818099, train avg acc: 0.745035
Test 93, loss: 1.658890, test acc: 0.856969, test avg acc: 0.801779
Train 94, loss: 1.773537, train acc: 0.822577, train avg acc: 0.750982
Test 94, loss: 1.661283, test acc: 0.857374, test avg acc: 0.797523
Train 95, loss: 1.771874, train acc: 0.822781, train avg acc: 0.750767
Test 95, loss: 1.660655, test acc: 0.868720, test avg acc: 0.818785
Train 96, loss: 1.770405, train acc: 0.825529, train avg acc: 0.756911
Test 96, loss: 1.691714, test acc: 0.837925, test avg acc: 0.795895
Train 97, loss: 1.761870, train acc: 0.826853, train avg acc: 0.755811
Test 97, loss: 1.694407, test acc: 0.850891, test avg acc: 0.804802
Train 98, loss: 1.758573, train acc: 0.823493, train avg acc: 0.753074
Test 98, loss: 1.659146, test acc: 0.853728, test avg acc: 0.801372
Train 99, loss: 1.766595, train acc: 0.824817, train avg acc: 0.752224
Test 99, loss: 1.658753, test acc: 0.853728, test avg acc: 0.798674
Train 100, loss: 1.760172, train acc: 0.828685, train avg acc: 0.758999
Test 100, loss: 1.661763, test acc: 0.861831, test avg acc: 0.809250
Train 101, loss: 1.758617, train acc: 0.831637, train avg acc: 0.766428
Test 101, loss: 1.674253, test acc: 0.849676, test avg acc: 0.794547
Train 102, loss: 1.750219, train acc: 0.833876, train avg acc: 0.765360
Test 102, loss: 1.663249, test acc: 0.845219, test avg acc: 0.817459
Train 103, loss: 1.756531, train acc: 0.826547, train avg acc: 0.759626
Test 103, loss: 1.649806, test acc: 0.858995, test avg acc: 0.811291
Train 104, loss: 1.749025, train acc: 0.830721, train avg acc: 0.761833
Test 104, loss: 1.649536, test acc: 0.866288, test avg acc: 0.805285
Train 105, loss: 1.750157, train acc: 0.829499, train avg acc: 0.759780
Test 105, loss: 1.648950, test acc: 0.863047, test avg acc: 0.807872
Train 106, loss: 1.746085, train acc: 0.832858, train avg acc: 0.763484
Test 106, loss: 1.689760, test acc: 0.842788, test avg acc: 0.799419
Train 107, loss: 1.738273, train acc: 0.835912, train avg acc: 0.770235
Test 107, loss: 1.668651, test acc: 0.843598, test avg acc: 0.786169
Train 108, loss: 1.739457, train acc: 0.836217, train avg acc: 0.768523
Test 108, loss: 1.692450, test acc: 0.844814, test avg acc: 0.790913
