Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='dgcnn_vnn_airplane', k=40, lr=0.001, model='eqcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, pooling='mean', rot='aligned', scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Test 32, loss: 0.854094, test acc: 0.889265, test avg acc: 0.851288, test iou: 0.776971
Train 33, loss: 0.819702, train acc: 0.917579, train avg acc: 0.906702, train iou: 0.809144
Test 33, loss: 0.869544, test acc: 0.875232, test avg acc: 0.853945, test iou: 0.725919
Train 34, loss: 0.821218, train acc: 0.916315, train avg acc: 0.905335, train iou: 0.809698
Test 34, loss: 0.858451, test acc: 0.885222, test avg acc: 0.868620, test iou: 0.762282
Train 35, loss: 0.817501, train acc: 0.919448, train avg acc: 0.908946, train iou: 0.813729
Test 35, loss: 0.847516, test acc: 0.893220, test avg acc: 0.860914, test iou: 0.774638
Train 36, loss: 0.816569, train acc: 0.920138, train avg acc: 0.909821, train iou: 0.817432
Test 36, loss: 0.856665, test acc: 0.887607, test avg acc: 0.847801, test iou: 0.759040
Train 37, loss: 0.815442, train acc: 0.920889, train avg acc: 0.910777, train iou: 0.816905
Test 37, loss: 0.852370, test acc: 0.889408, test avg acc: 0.871140, test iou: 0.754675
Train 38, loss: 0.814073, train acc: 0.922003, train avg acc: 0.912087, train iou: 0.820854
Test 38, loss: 0.855442, test acc: 0.887074, test avg acc: 0.870251, test iou: 0.765421
Train 39, loss: 0.813166, train acc: 0.922937, train avg acc: 0.913462, train iou: 0.821545
Test 39, loss: 0.852067, test acc: 0.889893, test avg acc: 0.861513, test iou: 0.750907
Train 40, loss: 0.810629, train acc: 0.924788, train avg acc: 0.915012, train iou: 0.825964
Test 40, loss: 0.845257, test acc: 0.896156, test avg acc: 0.872317, test iou: 0.772322
Train 41, loss: 0.811454, train acc: 0.924407, train avg acc: 0.914852, train iou: 0.825619
Test 41, loss: 0.846678, test acc: 0.894369, test avg acc: 0.853315, test iou: 0.786410
Train 42, loss: 0.809827, train acc: 0.925814, train avg acc: 0.916825, train iou: 0.828492
Test 42, loss: 0.861085, test acc: 0.881958, test avg acc: 0.866948, test iou: 0.743755
Train 43, loss: 0.810335, train acc: 0.925135, train avg acc: 0.915373, train iou: 0.826256
Test 43, loss: 0.847010, test acc: 0.894023, test avg acc: 0.878651, test iou: 0.773625
Train 44, loss: 0.807854, train acc: 0.927169, train avg acc: 0.917821, train iou: 0.831110
Test 44, loss: 0.847831, test acc: 0.895561, test avg acc: 0.882229, test iou: 0.756698
Train 45, loss: 0.807816, train acc: 0.927354, train avg acc: 0.918465, train iou: 0.831240
Test 45, loss: 0.853116, test acc: 0.889210, test avg acc: 0.855832, test iou: 0.784516
Train 46, loss: 0.808315, train acc: 0.926893, train avg acc: 0.917495, train iou: 0.829770
Test 46, loss: 0.851712, test acc: 0.890025, test avg acc: 0.861140, test iou: 0.763755
Train 47, loss: 0.812533, train acc: 0.923401, train avg acc: 0.912358, train iou: 0.825462
Test 47, loss: 0.854517, test acc: 0.887419, test avg acc: 0.862131, test iou: 0.773373
Train 48, loss: 0.814363, train acc: 0.921319, train avg acc: 0.910229, train iou: 0.821099
Test 48, loss: 0.906124, test acc: 0.844828, test avg acc: 0.787844, test iou: 0.707071
Train 49, loss: 0.832378, train acc: 0.905818, train avg acc: 0.891510, train iou: 0.790501
Test 49, loss: 0.974338, test acc: 0.786517, test avg acc: 0.682719, test iou: 0.539841
Train 50, loss: 0.830606, train acc: 0.907514, train avg acc: 0.894386, train iou: 0.793581
Test 50, loss: 0.855830, test acc: 0.886311, test avg acc: 0.862071, test iou: 0.770060
